training_name,reference_date,location,horizon,WIS,MAE
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,72,3,0.1953730286923545,0.2645596550309266
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,01,0,0.08898634175007372,0.04773140282118993
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,01,1,0.1526465817520063,0.2664046740044963
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,01,2,0.1135680869712211,0.19725578036208224
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,01,3,0.08630277775121792,0.029327615094520088
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,02,0,0.11185913012469327,0.05195973893071093
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,02,1,0.16650683386878246,0.26236426446749084
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,02,2,0.26214561889975113,0.3540329344758939
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,02,3,0.25808267134498475,0.18232155679395468
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,04,0,0.11077860330764588,0.2082693427498512
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,04,1,0.08479219751942735,0.09063727410493261
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,04,2,0.088683005120182,0.07775524956593749
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,04,3,0.09240085969049924,0.016129381929884445
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,05,0,0.12147644217646894,0.15210777819745824
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,05,1,0.10370689295902269,0.11034805716886531
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,05,2,0.19429637162003133,0.356674943938732
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,05,3,0.32344333428698024,0.5731295071021458
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,06,0,0.05618146012553817,0.049392755329576765
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,06,1,0.06666119034451218,0.0053238812527505175
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,06,2,0.07738763279426662,0.01652930195121094
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,06,3,0.0874438003144372,0.04746653723892358
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,08,0,0.1401690819644762,0.24686007793152598
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-31,08,1,0.1377043932187375,0.2664046740044963
